"","date","time","stream","m","temp","time2"
"85",2021-01-26,"21:00","c55","0",10.907,"21:00"
"86",2021-01-26,"21:15","c55","0",10.883,"21:15"
"87",2021-01-26,"21:30","c55","0",10.858,"21:30"
"88",2021-01-26,"21:45","c55","0",10.834,"21:45"
"89",2021-01-26,"22:00","c55","0",10.81,"22:00"
"90",2021-01-26,"22:15","c55","0",10.81,"22:15"
"91",2021-01-26,"22:30","c55","0",10.81,"22:30"
"92",2021-01-26,"22:45","c55","0",10.785,"22:45"
"93",2021-01-26,"23:00","c55","0",10.761,"23:00"
"94",2021-01-26,"23:15","c55","0",10.761,"23:15"
"95",2021-01-26,"23:30","c55","0",10.736,"23:30"
"96",2021-01-26,"23:45","c55","0",10.712,"23:45"
"97",2021-01-27,"0:00","c55","0",10.687,"00:00"
"98",2021-01-27,"0:15","c55","0",10.687,"00:15"
"99",2021-01-27,"0:30","c55","0",10.687,"00:30"
"100",2021-01-27,"0:45","c55","0",10.687,"00:45"
"101",2021-01-27,"1:00","c55","0",10.687,"01:00"
"102",2021-01-27,"1:15","c55","0",10.687,"01:15"
"103",2021-01-27,"1:30","c55","0",10.687,"01:30"
"104",2021-01-27,"1:45","c55","0",10.712,"01:45"
"105",2021-01-27,"2:00","c55","0",10.687,"02:00"
"106",2021-01-27,"2:15","c55","0",10.687,"02:15"
